Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1582799450.439582,33555,7,0
1,NewOrder,1582799450.439601,35626,0,0
5,StockLevel,1582799450.439605,22463,2,0
5,StockLevel,1582799450.440681,23201,5,0
2,Payment,1582799450.441755,17727,6,0
1,NewOrder,1582799450.445793,58437,9,0
1,NewOrder,1582799450.445806,49305,8,0
1,NewOrder,1582799450.445811,27163,3,0
2,Payment,1582799450.445815,13666,4,0
3,OrderStatus,1582799450.446902,19573,4,0
2,Payment,1582799450.449836,17218,6,0
1,NewOrder,1582799450.449840,38361,2,0
2,Payment,1582799450.449843,30682,5,0
1,NewOrder,1582799450.450921,39294,4,0
2,Payment,1582799450.452004,20186,6,0
1,NewOrder,1582799450.452013,43006,6,0
1,NewOrder,1582799450.453096,34751,3,0
1,NewOrder,1582799450.454180,39762,7,0
1,NewOrder,1582799450.456427,39453,1,0
1,NewOrder,1582799450.456433,39579,0,0
2,Payment,1582799450.457519,36799,5,0
2,Payment,1582799450.458612,34824,3,0
2,Payment,1582799450.459780,43596,2,0
1,NewOrder,1582799450.460991,54697,4,0
5,StockLevel,1582799450.460997,41662,3,0
1,NewOrder,1582799450.462097,38682,7,0
3,OrderStatus,1582799450.463182,38494,5,0
2,Payment,1582799450.464264,35585,6,0
1,NewOrder,1582799450.465345,56158,8,0
3,OrderStatus,1582799450.466526,37047,1,0
2,Payment,1582799450.467733,38747,0,0
1,NewOrder,1582799450.468936,49653,6,0
2,Payment,1582799450.468947,44011,7,0
1,NewOrder,1582799450.470165,84499,5,0
2,Payment,1582799450.471249,36326,3,0
1,NewOrder,1582799450.472329,49527,2,0
1,NewOrder,1582799450.473417,58034,1,0
1,NewOrder,1582799450.474501,50676,9,0
1,NewOrder,1582799450.475589,49862,0,0
2,Payment,1582799450.476677,35627,3,0
4,Delivery,1582799450.477768,143460,3,0
2,Payment,1582799450.478834,41685,7,0
1,NewOrder,1582799450.479926,60071,4,0
1,NewOrder,1582799450.479936,53794,6,0
2,Payment,1582799450.481025,48571,7,0
1,NewOrder,1582799450.482109,70656,8,0
1,NewOrder,1582799450.483193,48818,2,0
1,NewOrder,1582799450.484277,58441,9,0
2,Payment,1582799450.485374,46143,0,0
